date,hour,n
2022.12.26,N4,60
2022.12.26,N5,61
2022.12.26,PB,17
2022.12.24,N1,17
2022.12.24,N2,37
2022.12.24,N3,46
2022.12.24,N4,54
2022.12.24,N5,67
2022.12.24,PB,8
2022.12.21,N1,12
2022.12.21,N2,15
2022.12.21,N3,24
2022.12.21,N4,34
2022.12.21,N5,59
2022.12.21,PB,14
2022.12.19,N1,7
2022.12.19,N2,37
2022.12.19,N3,55
2022.12.19,N4,65
2022.12.19,N5,67
2022.12.19,PB,12
2022.12.17,N1,33
2022.12.17,N2,56
2022.12.17,N3,64
2022.12.17,N4,66
2022.12.17,N5,68
2022.12.17,PB,12
2022.12.14,N1,36
2022.12.14,N2,51
2022.12.14,N3,59
2022.12.14,N4,66
2022.12.14,N5,68
2022.12.14,PB,25
2022.12.12,N1,16
2022.12.12,N2,31
2022.12.12,N3,50
2022.12.12,N4,55
2022.12.12,N5,61
2022.12.12,PB,9
2022.12.10,N1,9
2022.12.10,N2,23
2022.12.10,N3,47
2022.12.10,N4,49
2022.12.10,N5,68
2022.12.10,PB,19
2022.12.07,N1,6
2022.12.07,N2,28
2022.12.07,N3,44
2022.12.07,N4,59
2022.12.07,N5,61
2022.12.07,PB,21
2022.12.05,N1,35
2022.12.05,N2,45
2022.12.05,N3,47
2022.12.05,N4,54
2022.12.05,N5,55
2022.12.05,PB,14
2022.12.03,N1,6
2022.12.03,N2,13
2022.12.03,N3,33
2022.12.03,N4,36
2022.12.03,N5,37
2022.12.03,PB,7
2022.11.30,N1,4
2022.11.30,N2,19
2022.11.30,N3,24
2022.11.30,N4,47
2022.11.30,N5,66
2022.11.30,PB,10
2022.11.28,N1,29
2022.11.28,N2,30
2022.11.28,N3,32
2022.11.28,N4,48
2022.11.28,N5,50
2022.11.28,PB,20
2022.11.26,N1,15
2022.11.26,N2,30
2022.11.26,N3,47
2022.11.26,N4,50
2022.11.26,N5,51
2022.11.26,PB,3
2022.11.23,N1,1
2022.11.23,N2,2
2022.11.23,N3,31
2022.11.23,N4,39
2022.11.23,N5,66
2022.11.23,PB,25
2022.11.21,N1,1
2022.11.21,N2,6
2022.11.21,N3,40
2022.11.21,N4,51
2022.11.21,N5,67
2022.11.21,PB,2
2022.11.19,N1,7
2022.11.19,N2,28
2022.11.19,N3,62
2022.11.19,N4,63
2022.11.19,N5,64
2022.11.19,PB,10
2022.11.16,N1,28
2022.11.16,N2,34
2022.11.16,N3,51
2022.11.16,N4,53
2022.11.16,N5,56
2022.11.16,PB,11
2022.11.14,N1,19
2022.11.14,N2,35
2022.11.14,N3,53
2022.11.14,N4,54
2022.11.14,N5,67
2022.11.14,PB,21
2022.11.12,N1,16
2022.11.12,N2,20
2022.11.12,N3,44
2022.11.12,N4,57
2022.11.12,N5,58
2022.11.12,PB,6
2022.11.09,N1,7
2022.11.09,N2,14
2022.11.09,N3,24
2022.11.09,N4,30
2022.11.09,N5,56
2022.11.09,PB,7
2022.11.07,N1,10
2022.11.07,N2,33
2022.11.07,N3,41
2022.11.07,N4,47
2022.11.07,N5,56
2022.11.07,PB,10
2022.11.05,N1,28
2022.11.05,N2,45
2022.11.05,N3,53
2022.11.05,N4,56
2022.11.05,N5,69
2022.11.05,PB,20
2022.11.02,N1,2
2022.11.02,N2,11
2022.11.02,N3,22
2022.11.02,N4,35
2022.11.02,N5,60
2022.11.02,PB,23
2022.10.31,N1,13
2022.10.31,N2,19
2022.10.31,N3,36
2022.10.31,N4,39
2022.10.31,N5,59
2022.10.31,PB,13
2022.10.29,N1,19
2022.10.29,N2,31
2022.10.29,N3,40
2022.10.29,N4,46
2022.10.29,N5,57
